Elective_IAT,Elective_LOS,Cancelled_Ops,Cancelled_Ops_Std,Bed_Occupancy,Bed_Occupancy_Std,Bed_Utilization,Bed_Utilization_Std,Wait_Time,Wait_Time_Std,Patient_Count,Patient_Count_Std
20,17.202,218.4,71.2231331371876,20.54025573443477,1.0121590613841134,0.855843988934782,0.042173294224338055,36.73883736673404,30.595753368586703,1576.34,35.947018836967636
20,23.202,224.46,70.03766042316819,20.668863741906165,0.9740068012239914,0.8612026559127571,0.040583616717666325,37.27949066999873,30.726193276477073,1576.34,35.947018836967636
20,29.202,229.74,68.98263904632759,20.801364199127196,0.9383916787208015,0.8667235082969669,0.0390996532800334,37.84147372395742,30.946330823608303,1576.34,35.947018836967636
20,35.202,235.46,67.4942809368592,20.91829220325405,0.901160952470905,0.8715955084689189,0.03754837301962104,38.224190207824044,31.027676736437115,1576.34,35.947018836967636
20,41.202,240.46,66.239272523857,21.03364142320795,0.8646940842932713,0.8764017259669978,0.0360289201788863,39.02605538483937,31.17281154830807,1576.34,35.947018836967636
20,47.202,246.8,65.36022631289973,21.135889437606746,0.8352091030713281,0.8806620599002812,0.03480037929463867,39.560473210142405,31.425752374445324,1576.34,35.947018836967636
20,53.202,252.34,64.55961017002907,21.230712200473796,0.7912965805713155,0.8846130083530747,0.03297069085713815,40.437247079952805,31.631229295103907,1576.34,35.947018836967636
20,59.202,257.76,62.72797117193364,21.321276224342736,0.7663108850773536,0.888386509347614,0.0319296202115564,41.20814254751938,32.010271678224605,1576.34,35.947018836967636
20,65.202,263.18,61.897113446922745,21.408532477067855,0.736993948559307,0.892022186544494,0.030708081189971134,41.944932121290606,31.9901661325846,1576.34,35.947018836967636
20,71.202,267.98,60.21779857572114,21.483933961390875,0.7227477777985434,0.8951639150579532,0.030114490741605982,42.462934732935146,31.238849149050704,1576.34,35.947018836967636
20,77.202,271.94,58.85555129609565,21.557845392152267,0.6853410838021172,0.8982435580063443,0.02855587849175489,43.33164271927759,31.660392540713612,1576.34,35.947018836967636
25,17.202,172.18,57.86214793166,20.458928365586548,1.029710982303814,0.852455348566106,0.04290462426265891,36.561563168064986,30.60818405998265,1490.08,36.18086087806026
25,23.202,175.74,57.463674417418005,20.572057018980612,0.9952011992277034,0.8571690424575256,0.041466716634487644,37.04519950068487,30.681488300408066,1490.08,36.18086087806026
25,29.202,179.24,56.50774192939569,20.67966775069322,0.9618515611863672,0.8616528229455507,0.0400771483827653,37.4291036013319,30.728538643138478,1490.08,36.18086087806026
25,35.202,183.04,56.032410446170914,20.775568607468312,0.9307293730270059,0.8656486919778464,0.03878039054279193,37.74062689401651,30.67808335570967,1490.08,36.18086087806026
